"ID","Title","Created By","Created On","Estimate","Forecast","Priority","References","Section","Section Depth","Section Description","Suite","Suite ID","Type","Updated By","Updated On"
"C1","Rejestracja użytkowania","DAWID WILCZYŃSKI","9/27/2022 4:33 PM","","","Medium","","Test Cases","0","","Master","S1","Other","DAWID WILCZYŃSKI","9/29/2022 11:42 PM"
"C2","Rejestracja użytkownia posiadającego ten sam email","DAWID WILCZYŃSKI","9/27/2022 11:08 PM","","","Medium","","Test Cases","0","","Master","S1","Other","DAWID WILCZYŃSKI","9/29/2022 11:40 PM"
"C3","Logowanie użytkownia - Poprawne Dane","DAWID WILCZYŃSKI","9/27/2022 11:17 PM","","","Medium","","Test Cases","0","","Master","S1","Other","DAWID WILCZYŃSKI","9/29/2022 11:41 PM"
"C4","Logowanie użytkownika - Niepoprawne Dane","DAWID WILCZYŃSKI","9/27/2022 11:46 PM","","","Medium","","Test Cases","0","","Master","S1","Other","DAWID WILCZYŃSKI","9/29/2022 11:41 PM"
"C5","Naciśnięcie banera na stronie głównej  wyświetlającego aktualne promocję i reklamy","DAWID WILCZYŃSKI","9/27/2022 11:53 PM","","","Medium","","Test Cases","0","","Master","S1","Other","DAWID WILCZYŃSKI","9/29/2022 11:41 PM"
"C6","Logowanie- Puste pole","DAWID WILCZYŃSKI","9/28/2022 12:04 AM","","","Medium","","Test Cases","0","","Master","S1","Other","DAWID WILCZYŃSKI","9/29/2022 11:41 PM"
"C7","Wypełnienie formularza kontaktowego poprawnymi danymi","DAWID WILCZYŃSKI","9/28/2022 12:18 AM","","","Medium","","Test Cases","0","","Master","S1","Other","DAWID WILCZYŃSKI","9/29/2022 11:41 PM"
"C8","Wypełnienie formularza kontaktowego niepełnymi danymi","DAWID WILCZYŃSKI","9/28/2022 12:26 AM","","","Medium","","Test Cases","0","","Master","S1","Other","DAWID WILCZYŃSKI","9/29/2022 11:41 PM"
"C9","Dodanie produktu do koszyka","DAWID WILCZYŃSKI","9/28/2022 1:27 AM","","","Medium","","Test Cases","0","","Master","S1","Other","DAWID WILCZYŃSKI","9/29/2022 11:42 PM"
"C10","Przekierowanie na stronę Facebook po kliknięciu w baner","DAWID WILCZYŃSKI","9/28/2022 1:33 AM","","","Medium","","Test Cases","0","","Master","S1","Other","DAWID WILCZYŃSKI","9/29/2022 11:42 PM"
